fileName,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
./ebooks-cb/ebook_cb-1502281222400-170818-0202/20150604143108_9789021673790.epub,2.0.1,Well-formed,0,1,,CSS-017,256
./ebooks-cb/ebook_cb-1502281222656-170818-0202/20150604143108_9789021673806.epub,2.0.1,Well-formed,0,1,,CSS-017,256
./ebooks-cb/ebook_cb-1502281222912-170818-0202/20150604143108_9789021673905.epub,2.0.1,Well-formed,0,1,,CSS-017,248
./ebooks-cb/ebook_cb-1502273680640-170817-0200/20150604133122_9789021669441.epub,2.0.1,Well-formed,0,1,,CSS-017,186
./ebooks-cb/ebook_cb-1502273700608-170818-0201/20150604133122_9789021672724.epub,2.0.1,Well-formed,0,1,,CSS-017,244
./ebooks-cb/ebook_cb-1502273704448-170818-0201/20150604133122_9789021673547.epub,2.0.1,Well-formed,0,1,,CSS-017,268
./ebooks-cb/ebook_cb-1502281239040-170819-0200/20150604143108_9789025856861.epub,2.0.1,Well-formed,0,1,,CSS-017,274
./ebooks-cb/ebook_cb-1502281260800-170822-0200/20150604143108_9789025861537.epub,2.0.1,Well-formed,0,1,,CSS-017,182
./ebooks-cb/ebook_cb-1502281261056-170822-0200/20150604143108_9789025861544.epub,2.0.1,Well-formed,0,1,,CSS-017,66
./ebooks-cb/ebook_cb-1502281263360-170822-0200/20150604143108_9789025861803.epub,2.0.1,Well-formed,0,1,,CSS-017,290
./ebooks-cb/ebook_cb-1502281264384-170822-0200/20150604143108_9789025862138.epub,2.0.1,Well-formed,0,1,,CSS-017,160
./ebooks-cb/ebook_cb-1502281264640-170822-0200/20150604143108_9789025862145.epub,2.0.1,Well-formed,0,1,,CSS-017,56
./ebooks-cb/ebook_cb-1502281265152-170822-0200/20150604143108_9789025862169.epub,2.0.1,Well-formed,0,1,,CSS-017,120
./ebooks-cb/ebook_cb-1502281273856-170822-0201/20150604143108_9789025863173.epub,2.0.1,Well-formed,0,1,,CSS-017,296
./ebooks-cb/ebook_cb-1502281274368-170822-0201/20150604143108_9789025863197.epub,2.0.1,Well-formed,0,1,,CSS-017,116
